Time (s),Channel 2 (V),Channel 1 (V)
-0.00016416,3.061766006,3.398262716
-0.00016384,3.060500511,3.393675295
-0.00016352,3.059946856,3.388138754
-0.0001632,3.059314109,3.381732184
-0.00016288,3.059393202,3.37477196
-0.00016256,3.059393202,3.367732642
-0.00016224,3.059155922,3.359586016
-0.00016192,3.058127707,3.353654007
-0.0001616,3.058444081,3.348433839
-0.00016128,3.057178585,3.343688232
-0.00016096,3.057653146,3.339891746
-0.00016064,3.058444081,3.337439849
-0.00016032,3.058048613,3.334987952
-0.00016,3.064296996,3.333406083
-0.00015968,3.070387192,3.331586933
-0.00015936,3.077821977,3.330875092
-0.00015904,3.084149454,3.330875092
-0.00015872,3.090002369,3.329293223
-0.0001584,3.096329846,3.327869541
-0.00015808,3.097437154,2.7773
-0.00015776,3.096013472,3.280413468
-0.00015744,3.09506435,3.278515225
-0.00015712,3.093719762,3.267600328
-0.0001568,3.091188771,3.256843618
-0.00015648,3.090002369,3.253521693
-0.00015616,3.0884205,3.253996254
-0.00015584,3.085810416,3.25803002
-0.00015552,3.083437613,3.263645655
-0.0001552,3.08201393,3.270764066
-0.00015488,3.07948294,3.278277944
-0.00015456,3.077584697,3.286345477
-0.00015424,3.07537008,3.292119299
-0.00015392,3.073550931,3.299079523
-0.0001536,3.071810875,3.304062411
-0.00015328,3.069042604,3.308254364
-0.00015296,3.066590707,3.311418102
-0.00015264,3.063189688,3.31434456
-0.00015232,3.060816884,3.317112831
-0.000152,3.05796952,3.318536513
-0.00015168,3.05591309,3.318773793
-0.00015136,3.052670258,3.319327448
-0.00015104,3.050060174,3.320039289
-0.00015072,3.048241025,3.321383878
-0.0001504,3.045235474,3.322728466
-0.00015008,3.042388109,3.323440307
-0.00014976,3.040331679,3.324626709
-0.00014944,3.038670717,3.325180363
-0.00014912,3.036535194,3.326287672
-0.0001488,3.034874231,3.327315887
-0.00014848,3.032896895,3.328265008
-0.00014816,3.031156839,3.329767784
-0.00014784,3.029337689,3.331191466
-0.00014752,3.027597633,3.332140587
-0.0001472,3.025541203,3.333406083
-0.00014688,3.024433895,3.334671578
-0.00014656,3.023247493,3.335541606
-0.00014624,3.021665624,3.336411634
-0.00014592,3.021902904,3.337439849
-0.0001456,3.02111197,3.337677129
-0.00014528,3.020321035,3.33838897
-0.00014496,3.019371914,3.339575372
-0.00014464,3.018660073,3.340049933
-0.00014432,3.018976447,3.340840867
-0.000144,3.01881826,3.341631802
-0.00014368,3.018264606,3.341394522
-0.00014336,3.017710951,3.342106363
-0.00014304,3.018185512,3.342818204
-0.00014272,3.018976447,3.343134578
-0.0001424,3.018660073,3.343925512
-0.00014208,3.020083755,3.344241886
-0.00014176,3.020637409,3.34455826
-0.00014144,3.02111197,3.345111914
-0.00014112,3.02111197,3.345507381
-0.0001408,3.021665624,3.345981942
-0.00014048,3.022061091,3.345902849
-0.00014016,3.023880241,3.34661469
-0.00013984,3.024275708,3.347247437
-0.00013952,3.024987549,3.348117465
-0.0001392,3.025541203,3.349066587
-0.00013888,3.025857577,3.348829306
-0.00013856,3.025936671,3.34867112
-0.00013824,3.026648512,3.348433839
-0.00013792,3.026569418,3.349462054
-0.0001376,3.026806699,3.349936615
-0.00013728,3.028230381,3.350490269
-0.00013696,3.028784035,3.350332082
-0.00013664,3.028784035,3.349857521
-0.00013632,3.02957497,3.349620241
-0.000136,3.030444998,3.350173895
-0.00013568,3.030603185,3.350411176
-0.00013536,3.030998652,3.350648456
-0.00013504,3.031235932,3.350569362
-0.00013472,3.031235932,3.350094802
-0.0001344,3.03186868,3.349857521
-0.00013408,3.031789586,3.349936615
-0.00013376,3.031552306,3.350569362
-0.00013344,3.031710493,3.350332082
-0.00013312,3.031789586,3.350252989
-0.0001328,3.031394119,3.351043923
-0.00013248,3.030444998,3.350015708
-0.00013216,3.030603185,3.350015708
-0.00013184,3.030919558,3.349699334
-0.00013152,3.030682278,3.349857521
-0.0001312,3.030444998,3.34914568
-0.00013088,3.029970437,3.348433839
-0.00013056,3.029733157,3.34708925
-0.00013024,3.028863129,3.346535596
-0.00012992,3.02751854,3.346456503
-0.0001296,3.027123072,3.345823755
-0.00012928,3.025857577,3.346456503
-0.00012896,3.025303923,3.345981942
-0.00012864,3.024433895,3.345349194
-0.00012832,3.024592082,3.344637353
-0.000128,3.02364296,3.344083699
-0.00012768,3.022535652,3.343292765
-0.00012736,3.022140185,3.343371858
-0.00012704,3.020400129,3.342580923
-0.00012672,3.018897353,3.341315428
-0.0001264,3.017869138,3.340682681
-0.00012608,3.01699911,3.340524494
-0.00012576,3.015812708,3.340366307
-0.00012544,3.014784493,3.339496279
-0.00012512,3.013518998,3.338230783
-0.0001248,3.011937129,3.33791441
-0.00012448,3.011541662,3.337756223
-0.00012416,3.010988008,3.337281662
-0.00012384,3.009801606,3.337202569
-0.00012352,3.009168858,3.336332541
-0.0001232,3.00806155,3.335620699
-0.00012288,3.006558774,3.335225232
-0.00012256,3.005451466,3.334592485
-0.00012224,3.003790503,3.334829765
-0.00012192,3.002287728,3.334513391
-0.0001216,3.001813167,3.334117924
-0.00012128,3.000864045,3.333485176
-0.00012096,2.99959855,3.332536055
-0.00012064,2.998333055,3.332219681
-0.00012032,2.997621214,3.339338092
-0.00012,2.996751186,3.369630885
-0.00011968,2.995960251,3.375167427
-0.00011936,2.995090223,3.382523118
-0.00011904,2.994615662,3.394308043
-0.00011872,2.993903821,3.401663734
-0.0001184,2.993271074,3.402217389
-0.00011808,2.992480139,3.40111008
-0.00011776,2.992005578,3.396918127
-0.00011744,2.991293737,3.391935239
-0.00011712,2.990819177,3.38576595
-0.0001168,2.990028242,3.379043006
-0.00011648,2.989237307,3.372399156
-0.00011616,2.989316401,3.366704427
-0.00011584,2.988367279,3.360614231
-0.00011552,2.987734532,3.356343185
-0.0001152,2.988129999,3.352230325
-0.00011488,2.987655438,3.348592026
-0.00011456,2.987497251,3.346693783
-0.00011424,2.986864504,3.34455826
-0.00011392,2.986943597,3.342422737
-0.0001136,2.987259971,3.260798291
-0.00011328,2.987418158,2.861692716
-0.00011296,2.987101784,3.294333916
-0.00011264,2.987180878,3.289351028
-0.00011232,2.986943597,3.274639646
-0.000112,2.985994476,3.261272852
-0.00011168,2.98654813,3.255578123
-0.00011136,2.985915382,3.25367988
-0.00011104,2.985757195,3.255815403
-0.00011072,2.985282635,3.259137328
-0.0001104,2.984175326,3.263882936
-0.00011008,2.984175326,3.269894038
-0.00010976,2.984412607,3.274718739
-0.00010944,2.983305298,3.280650748
-0.00010912,2.983305298,3.286108197
-0.0001088,2.982988925,3.29053743
-0.00010848,2.983305298,3.294492103
-0.00010816,2.982909831,3.297102187
-0.00010784,2.983226205,3.299158617
-0.00010752,2.983068018,3.300265925
-0.0001072,2.982514364,3.30153142
-0.00010688,2.982277083,3.303034196
-0.00010656,2.981802523,3.30335057
-0.00010624,2.98196071,3.303508757
-0.00010592,2.981090682,3.304220598
-0.0001056,2.980457934,3.304378785
-0.00010528,2.980299747,3.304695158
-0.00010496,2.979746093,3.304853345
-0.00010464,2.979825186,3.305327906
-0.00010432,2.979825186,3.306672495
-0.000104,2.979746093,3.307858897
-0.00010368,2.979192439,3.308570738
-0.00010336,2.978638785,3.309203485
-0.00010304,2.97784785,3.30975714
-0.00010272,2.97784785,3.311418102
-0.0001024,2.977215102,3.313316345
-0.00010208,2.976265981,3.31410728
-0.00010176,2.97579142,3.313790906
-0.00010144,2.975000486,3.313949093
-0.00010112,2.975079579,3.314740027
-0.0001008,2.974605018,3.315135495
-0.00010048,2.97326043,3.316005523
-0.00010016,2.972469495,3.316875551
-9.98E-05,2.971994934,3.318220139
-9.95E-05,2.970966719,3.318536513
-9.92E-05,2.970650346,3.31845742
-9.89E-05,2.969463944,3.318773793
-9.86E-05,2.968673009,3.319327448
-9.82E-05,2.968198448,3.319485635
-9.79E-05,2.967802981,3.32075113
-9.76E-05,2.967170234,3.321700251
-9.73E-05,2.965983832,3.322016625
-9.70E-05,2.965430177,3.322016625
-9.66E-05,2.964481056,3.322095719
-9.63E-05,2.963848308,3.32304484
-9.60E-05,2.963057374,3.323598494
-9.57E-05,2.962424626,3.32328212
-9.54E-05,2.962029159,3.324073055
-9.50E-05,2.961791879,3.324389429
-9.47E-05,2.961317318,3.324547616
-9.44E-05,2.960842757,3.32533855
-9.41E-05,2.960210009,3.325496737
-9.38E-05,2.959893636,3.325654924
-9.34E-05,2.958549047,3.325734018
-9.31E-05,2.957995393,3.326287672
-9.28E-05,2.957599925,3.326762232
-9.25E-05,2.957046271,3.326762232
-9.22E-05,2.956492617,3.327078606
-9.18E-05,2.955622589,3.326841326
-9.15E-05,2.954436187,3.326762232
-9.12E-05,2.95404072,3.327948634
-9.09E-05,2.953487066,3.328502288
-9.06E-05,2.952775225,3.328265008
-9.02E-05,2.95222157,3.329530503
-8.99E-05,2.95198429,3.329293223
-8.96E-05,2.951193356,3.329767784
-8.93E-05,2.950956075,3.329767784
-8.90E-05,2.950402421,3.329293223
-8.86E-05,2.94992786,3.329925971
-8.83E-05,2.949057832,3.329767784
-8.80E-05,2.949136926,3.330242344
-8.77E-05,2.948662365,3.330716905
-8.74E-05,2.948820552,3.330084158
-8.70E-05,2.94739687,3.329767784
-8.67E-05,2.947080496,3.329925971
-8.64E-05,2.946447748,3.330005064
-8.61E-05,2.946447748,3.330084158
-8.58E-05,2.945815001,3.330400531
-8.54E-05,2.94510316,3.330400531
-8.51E-05,2.944549505,3.330242344
-8.48E-05,2.944628599,3.330479625
